id,title,overview,genres,keywords,release_date,vote_average,vote_count,popularity,poster_path,original_language
840464,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]","[{""id"": 5096, ""name"": ""natural disaster""}, {""id"": 4917, ""name"": ""shelter""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 208156, ""name"": ""frantic""}]",2026-01-07,6.545,422,340.8381,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,en
1368166,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.","[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 818, ""name"": ""based on novel or book""}, {""id"": 12565, ""name"": ""psychological thriller""}, {""id"": 17997, ""name"": ""housekeeper""}, {""id"": 155619, ""name"": ""attic""}, {""id"": 191009, ""name"": ""housemaid""}, {""id"": 286957, ""name"": ""adaptation""}, {""id"": 316332, ""name"": ""mystery""}, {""id"": 319190, ""name"": ""suspense thriller""}]",2025-12-18,7.2,1087,242.6557,/mJGFduBPAzTKzOeCeTjBBOxnalB.jpg,en
1315303,Primate,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 1668, ""name"": ""hawaii""}, {""id"": 2551, ""name"": ""pet""}, {""id"": 5160, ""name"": ""animal attack""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 15149, ""name"": ""monkey""}, {""id"": 50009, ""name"": ""survival horror""}, {""id"": 157972, ""name"": ""chimpanzee""}, {""id"": 158303, ""name"": ""rabies""}, {""id"": 177280, ""name"": ""primate""}, {""id"": 202371, ""name"": ""aggressive""}, {""id"": 206980, ""name"": ""mongoose""}, {""id"": 223059, ""name"": ""animal horror""}, {""id"": 225840, ""name"": ""pool party""}, {""id"": 244984, ""name"": ""pool""}, {""id"": 251667, ""name"": ""anxious""}, {""id"": 286407, ""name"": ""party""}, {""id"": 309060, ""name"": ""teen horror""}, {""id"": 314730, ""name"": ""suspenseful""}, {""id"": 315058, ""name"": ""horror""}, {""id"": 361118, ""name"": ""animal""}]",2026-01-01,6.6,264,250.6141,/57cyAMc9c8iveudogTRuDOQjujn.jpg,en
1168190,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]","[{""id"": 9824, ""name"": ""reunion""}]",2026-01-28,6.849,571,235.2281,/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,en
1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}]","[{""id"": 1585, ""name"": ""snake""}, {""id"": 3208, ""name"": ""bunny""}, {""id"": 2527, ""name"": ""fox""}, {""id"": 8015, ""name"": ""cop""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 11477, ""name"": ""anthropomorphism""}, {""id"": 18165, ""name"": ""animals""}, {""id"": 33549, ""name"": ""displacement""}, {""id"": 167316, ""name"": ""buddy cop""}, {""id"": 167541, ""name"": ""buddy comedy""}, {""id"": 239797, ""name"": ""complex""}, {""id"": 259376, ""name"": ""playful""}, {""id"": 267848, ""name"": ""talking animal""}, {""id"": 278823, ""name"": ""3d animation""}, {""id"": 325805, ""name"": ""embarrassed""}, {""id"": 325811, ""name"": ""excited""}]",2025-11-26,7.608,1669,227.8124,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,en
1426964,State of Fear,"As São Paulo erupts in an unprecedented wave of violence, a lawyer with underworld ties must strike a deal with the police to rescue her kidnapped niece.","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 324429, ""name"": ""romantic""}]",2026-02-10,4.273,22,225.4557,/3Eaqedg8MAlnP51GYY8MCSIdTnV.jpg,pt
1317672,Love Me Love Me,"After her brother's death, June moves to Milan for a fresh start, finding comfort in Will, the perfect honor student at her new international school. But when his troubled best friend James-hiding a dangerous life in clandestine MMA fights-sparks a rivalry that quickly turns into irresistible attraction, June must choose between safety and a love that upends everything she thought she wanted.","[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 818, ""name"": ""based on novel or book""}]",2026-02-12,6.2,55,196.3749,/4QWAPETLYZosiwXQCTMu1KerXxI.jpg,en
1419406,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 325811, ""name"": ""excited""}]",2025-08-16,7.203,427,197.3242,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,zh
1601243,Oscar Shaw,"After retiring from the police force, a relentless detective haunted by the tragic loss of his closest friend sets out on a perilous quest for vengeance, seeking redemption and fighting to restore justice to the streets he once swore to protect.","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",[],2026-01-09,6.368,19,168.4517,/tsE3nySukwrfUjouz8vzvKTcXNC.jpg,en
1317288,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.","[{""id"": 18, ""name"": ""Drama""}]","[{""id"": 242, ""name"": ""new york city""}, {""id"": 6075, ""name"": ""sports""}, {""id"": 592, ""name"": ""capitalism""}, {""id"": 3725, ""name"": ""pregnancy""}, {""id"": 2348, ""name"": ""hustler""}, {""id"": 5526, ""name"": ""ping pong""}, {""id"": 12369, ""name"": ""tokyo, japan""}, {""id"": 18011, ""name"": ""pregnant woman""}, {""id"": 164186, ""name"": ""character study""}, {""id"": 184302, ""name"": ""scheming""}, {""id"": 208611, ""name"": ""1950s""}, {""id"": 240461, ""name"": ""dedication""}, {""id"": 247776, ""name"": ""american businessman""}, {""id"": 274920, ""name"": ""jewish""}, {""id"": 276964, ""name"": ""table tennis""}, {""id"": 281585, ""name"": ""inspirational""}, {""id"": 366509, ""name"": ""best picture nominee""}]",2025-12-19,7.6,706,162.1375,/lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg,en
